term,x,y,k,mark
progressive,-12.311251,-13.023406,5,
fringe,-10.65262,10.624097,1,
embrace,-11.024881,-11.958032,5,
socialist,-26.747587,15.856739,5,
conservatism,-14.200358,-13.797768,5,
marxist,-21.220287,-20.273348,5,
pander,-11.915758,-9.649508,1,
populism,-10.070532,-15.418751,1,
liberalism,-14.52158,-7.8447886,5,
fascism,-16.425821,-10.792365,5,
libertarian,-13.225785,-15.313797,0,
populist,-10.690859,-16.344925,5,
authoritarian,-14.731026,-10.151858,1,
nazism,-15.813759,-8.410441,1,
socialism,-26.635717,15.275145,5,
marxism,-21.47238,-19.305471,5,
ideology,-19.085564,-14.542402,5,ideology
regressive,21.176132,9.720697,1,
align,-0.32343096,-19.42362,1,
principle,-15.798194,-14.206837,5,
liberal,-36.106163,-12.549746,4,
leftist,-36.635147,-12.055712,4,
communism,-14.583435,-6.659716,5,
capitalism,-11.832892,-4.315135,5,
tolerant,20.785847,9.32663,1,
movement,-16.248835,-17.648466,5,
libertarianism,-8.089375,10.523893,1,
conservative,-27.389694,9.01628,0,
abandon,-2.1709275,-16.367552,1,
core,-12.187116,0.61759466,5,
fascist,19.903725,-24.096443,2,
root,7.644092,-5.8024745,1,root
moderate,-0.30825242,-20.995243,0,
preach,-21.233294,-5.6738715,1,
ideological,-19.096323,-12.500141,5,
divide,-10.247169,-10.106624,5,
neoliberal,9.546862,-10.025778,1,
cultural,-21.766624,-18.536682,5,
nationalism,-23.769505,-12.959763,5,
neoliberalism,0.33711347,-0.1492046,1,
agenda,1.2636404,12.8768635,3,
extreme,-20.108667,-11.60868,5,
ideal,-7.082065,-3.091151,1,
oppose,-4.6879163,-20.281988,0,
racism,-28.859575,-8.093473,4,
secular,-16.451164,-0.82169825,1,
communist,23.675379,-21.296173,2,
anger,13.834113,5.895714,1,
lambaste,12.04733,-2.1770902,1,
norm,7.279016,1.5466756,1,
republican,34.7008,-6.046451,3,
unity,-22.720121,-6.793165,1,
left,-38.062965,-11.9712925,4,
capitalist,6.8882656,-2.5487075,1,
neo,21.975155,-20.742367,2,
philosophy,0.073138535,-1.3637356,1,
traditional,-12.360313,3.7176838,5,
nationalist,-24.601692,-12.881414,5,
democracy,-12.433827,-2.4211504,5,
socially,-4.248891,14.007334,1,
brainwash,-16.870386,-5.5662265,4,
globalism,-13.02096,-5.546332,5,
zionist,19.324219,-24.607664,2,
unpopular,11.504101,17.529512,1,
platform,11.501957,19.540403,3,
vision,-8.176135,-2.6518443,1,
largely,-11.3731575,5.242943,1,
catholics,-23.429989,6.320433,1,
advocate,-5.092368,-19.128235,0,
radical,-37.216995,2.5304964,0,
tend,-7.7227955,14.417633,1,
party,11.922051,21.257093,3,
globalist,16.707958,-20.3191,2,globalist
equality,-17.392223,2.4355738,5,
demographic,-15.065131,15.584786,5,
indoctrination,2.9711382,-4.798389,1,
notion,-2.7013552,5.2086124,1,
tactic,9.857825,-17.680704,4,
anarchist,-17.673367,-8.392968,1,
bigotry,-29.30819,-4.302754,4,bigotry
sjw,-35.52209,-9.882515,4,
evangelical,-23.449677,7.3687134,1,
divisive,-29.597658,-3.650112,1,
tribal,-19.259516,-2.0695455,1,
historically,9.637413,-4.822558,1,
reject,-3.3797128,-16.715467,0,
dominate,7.8616776,-8.337494,1,
vocal,5.6723385,18.347063,1,
concept,-8.502678,2.5742366,5,
neocon,19.446735,-21.756392,2,
despise,17.538864,-3.7271154,1,
toxic,10.435194,-16.581463,1,
republicans,35.45187,-7.752241,3,
gentile,-18.917902,-2.744237,1,
utterly,10.964269,5.213499,1,
rino,24.038,-10.651583,1,
appease,4.7730627,-11.169795,1,
parasite,11.608149,-14.469649,1,
hatred,-30.266994,-5.5813074,4,
subversion,0.8438739,-2.0733075,1,
zionists,16.505337,-25.014477,1,
belief,-17.437916,-14.718637,5,
goal,1.8927737,11.770213,5,
democrat,34.06075,-6.811578,3,
lib,20.94974,-15.779291,1,
inequality,4.065841,4.636312,1,
democrats,34.595837,-7.8704033,3,
rotten,11.805145,8.3418255,1,
resist,4.6125097,-12.603764,1,
cuckservative,23.011715,-11.680333,1,
commie,18.511238,-14.384328,1,
elite,-10.743552,-5.5946813,5,
collectivist,5.4817214,-1.084695,1,
hateful,-27.8235,-4.391397,4,
nationalistic,5.5431056,4.0091987,1,
zionism,16.071732,-25.056654,1,
segregation,8.669271,0.7742957,1,
racial,-28.342081,-7.0029798,4,
attitude,-6.145555,11.923985,1,
modern,-7.0021515,-5.858852,5,
insane,22.400124,10.688006,1,
democratic,32.72917,-5.1883836,3,
christian,-20.916317,3.5196314,0,
diversity,-24.785738,-2.8273883,5,
hypocrisy,1.2745919,18.211243,1,
lean,-11.994863,11.743523,0,
perspective,-6.1705637,14.257467,1,
stable,12.939735,0.77038556,1,
society,-32.440235,7.3957624,5,
doctrine,-15.364587,-1.3444858,5,
obnoxious,-6.845669,9.42019,1,
rhetoric,-30.266502,-2.388409,4,
style,-3.8369923,-10.100658,1,
slavery,-4.5587187,-5.4379735,5,
pc,-20.196627,-6.878732,1,
promote,-2.390644,-10.250883,5,
conflate,7.3552785,3.2476935,1,
nevertrump,22.570805,-8.421605,1,
electorate,-13.664774,17.839958,1,
degeneracy,9.259375,3.697731,1,
simply,-3.6278975,16.877827,5,
cult,-18.145193,-3.9943173,1,
plantation,17.060703,-1.4820014,1,
jewish,16.785769,-26.797094,2,
correctness,18.003847,20.958046,5,
degenerate,17.82245,-12.9453125,1,
tyranny,-2.5033123,-4.615304,1,
vs.,23.109596,-0.46448135,1,
establishment,25.714354,-12.341068,3,
con,20.414217,-19.799568,2,
religious,-18.592371,2.5034902,0,religious
generation,7.414074,-22.953604,5,
culture,-22.197546,-16.873955,5,
persecute,-20.582731,6.76639,1,
atheist,-21.964413,4.573156,1,
bolshevism,6.607194,1.8281369,1,
kosher,10.807244,-11.134951,1,
evil,17.424475,-17.232395,4,
feminist,-33.65927,-5.190232,4,
subvert,1.3234972,-10.062429,1,
increasingly,14.761511,12.2889185,1,
label,-30.380259,2.029612,4,
naturally,9.800773,2.3852935,1,
faction,4.398067,-17.394524,1,
scumbag,19.5671,-3.5688188,1,
tradition,-5.948689,-4.76056,1,
revolution,-5.273889,-10.772949,5,
means,1.112947,6.2244735,1,
liberty,-15.823172,2.0864558,5,
diaspora,11.078656,-12.070239,1,
disagree,-6.1936517,19.7961,0,
self,-7.6879044,4.329805,5,
dislike,3.4845912,20.457876,1,
slowly,8.510914,-21.423891,1,
racist,-29.634808,-9.012331,4,
achieve,3.3035305,10.7381935,1,
absolute,8.486413,6.958003,1,
disavow,-28.659407,3.757327,4,
emasculate,7.1010723,-0.72271097,1,
challenge,10.021754,13.156768,1,
1930,10.646186,-0.89174575,1,
scum,18.89322,-16.591995,1,
ignorant,-0.5261898,22.22411,4,
adopt,26.57768,5.473924,1,
extremist,-37.066498,2.5715601,0,
outsider,15.327936,-0.44992447,1,
leaning,8.395695,-2.7402568,1,
slogan,17.726646,-0.034189343,1,
activist,-34.78834,-6.129818,0,
catholic,-23.239693,4.3718743,0,
hegemonic,3.7706187,-2.2130804,1,
deeply,-4.9279604,11.383305,1,
colleague,15.34053,-4.758261,1,
wing,-13.037592,12.190757,0,
backward,9.111287,-0.48076507,1,
moral,-10.178185,2.8909729,5,
taxation,11.230484,-3.0657744,1,
denounce,-28.919544,2.6748207,1,
oppress,-19.582672,7.988786,1,
diverse,-20.572653,-0.34307554,1,
racket,12.190097,-11.808354,1,
desire,1.2201099,8.829492,1,
entitlement,4.4350967,7.093451,1,
minority,-17.579044,14.489233,0,
politician,26.089119,-10.396504,3,politician
ultimate,7.853425,5.963595,1,
support,-4.1136727,-21.421238,0,
tea,30.054375,-4.50981,3,
infest,5.0331864,-6.6908183,1,
reign,8.58413,10.048212,1,
openly,-27.458153,0.22523814,4,
institution,-3.512564,-0.5629699,5,
useful,-1.5163366,23.108683,4,
millennial,19.794113,-0.6364452,1,
equally,-2.5711007,10.052206,1,
ridicule,18.442072,3.3254812,1,
intolerance,11.136929,3.5361729,1,
ethnic,-21.984589,-0.30773976,5,
acceptable,-5.1225686,18.040054,1,
intellectual,-3.7859344,2.2931054,1,
productive,4.974616,9.879222,1,
essentially,14.65823,13.537472,1,
supportive,23.125217,-2.835018,1,
prevail,7.1606135,10.3555,1,
argue,5.4794474,14.32669,1,
assortment,22.463673,-1.7919474,1,
nevertrumper,21.442333,-8.8846035,1,
bully,20.389444,3.866692,1,
behaviour,-2.5567422,3.4609964,1,
strongly,-8.162649,20.428843,1,
globalization,5.7760324,-3.2773013,1,
dumbass,17.832989,-6.2728653,1,
push,-0.27074146,-16.10248,1,
struggle,0.8941679,3.3679624,1,
fanatic,6.128851,-10.615945,1,
succeed,13.673216,1.9550735,1,
define,-7.7423415,1.5637552,5,
cuck,21.819654,-13.670916,4,
stupidity,8.024359,-13.6562,1,
collective,4.03771,0.5356534,1,
lefty,19.587141,-10.473533,1,
multiculturalist,12.349139,-1.1820105,1,
unite,-9.215008,-12.432266,1,
dare,16.50902,1.9216213,1,
purity,2.9831402,1.4609506,1,
brand,12.694301,-14.983063,1,
regardless,-1.8989398,8.706226,1,
feminism,-27.476278,-16.513948,1,
sympathizer,12.2237215,-6.4585743,1,
generally,-5.2566113,15.717018,1,
smug,14.185363,4.8721075,1,
lgbt,-18.237282,4.2645154,0,
pure,-11.886072,-21.163755,1,
spectrum,17.218046,20.266788,1,
1960,13.441357,-3.759109,1,
echo,-9.541049,9.598053,1,
opposition,3.5298183,-18.725119,3,
leadership,8.762159,25.588987,3,
ultimately,0.69165736,7.640436,1,
academia,4.469102,-5.5358176,1,
eradicate,10.623441,1.3411214,1,
myth,13.1154,-10.593611,1,
prefer,4.4266047,21.362425,1,
thought,-8.340402,16.954512,5,
stronghold,18.594788,-1.6373262,1,
voice,-23.666306,-7.6885543,1,
inevitable,15.0023985,8.533876,1,
form,-6.612665,1.1442478,5,
insist,16.286493,5.088018,1,
western,-14.014746,-4.305407,5,
campus,-34.59104,-4.115351,4,
weak,12.875462,16.309668,1,
nazi,24.122444,-22.545528,2,
takeover,4.7935624,-16.12806,1,
idea,-3.8021953,6.448748,5,
bankster,16.061796,-2.5370843,1,
purge,3.0477471,-11.058858,1,
class,-14.033656,7.0845923,5,
fellow,-23.304932,8.908607,1,
confuse,1.1392363,20.132174,1,
universal,4.740149,5.775076,1,
logic,-2.1907463,20.537071,1,
appeal,7.84759,14.286004,1,
crush,12.132165,9.676866,1,
statue,-21.917486,-3.7068138,1,
magaism,14.689936,-2.4256454,1,
economic,-10.064506,-3.1098328,5,
shift,15.797048,11.208359,1,
champion,-18.908041,9.245707,1,
perpetrate,1.501102,-7.9903073,1,
comprise,5.4470706,1.8410618,1,
idiot,0.44778326,23.614876,4,
consistent,6.2848954,13.199685,1,
monarchy,-1.4118204,-4.6370463,1,
undermine,0.6154856,-11.061056,5,
haunt,15.483483,-1.8911543,1,
gop,36.03021,-6.1390395,3,
