term,x,y,k,mark
russiagate,-4.954731,8.436117,4,
phony,11.626687,-6.907703,4,
bogus,11.131801,-8.556347,4,
collusion,2.6060634,-27.245243,5,
dossier,-31.683365,2.5712452,1,
discredit,28.044226,-5.810975,2,
hunt,30.712826,-14.855569,0,
hoax,20.605257,-2.3715248,2,
allegation,12.190664,-20.635302,5,
uncover,-25.822388,-6.7323594,3,
debunk,12.079141,-9.569441,2,
whatsoever,1.3445044,-11.355574,3,
underway,-12.896088,6.3054895,4,
steele,-27.737244,3.8343294,3,
deliberate,-14.100167,5.7542105,4,
false,14.085026,-9.660538,2,
blatant,20.714792,4.878763,4,
distraction,25.711704,-8.219945,4,
unverified,6.952356,-5.414536,4,
ongoing,-17.103157,3.8955555,3,
witch,30.681307,-14.822673,0,
deflect,25.210184,-7.1942806,4,
widely,-19.627628,12.458915,3,
surface,-11.395409,12.054004,4,
russia,-26.418486,5.6217413,1,russia
corruption,-8.758726,-23.85302,0,
coordination,-13.594719,0.781683,3,
bribery,-9.144675,-18.16968,3,
evidence,10.6846285,-21.810505,5,
mueller,-20.715452,-18.251518,5,mueller
unsubstantiated,6.5683684,-6.020618,4,
disturbing,-10.141545,10.650145,4,
disinformation,9.655592,2.1128786,4,disinformation
plausible,-0.5135543,0.4084439,4,
derail,-7.3326945,17.952785,4,
aggressively,15.702431,-1.1425959,4,
partisan,24.381012,-5.0108542,2,
fusion,-30.675365,1.2278454,1,
denial,13.315023,-1.76938,4,
covert,-15.775395,4.31064,3,
manufacture,-6.8720875,8.163511,4,
ic,-4.5763645,-1.5598823,3,
wrongdoing,1.8797222,-8.343509,3,
treasonous,16.829317,8.665482,4,
expose,-24.933826,-5.7314296,0,
thoroughly,12.655161,0.53685415,4,
setup,-5.5195565,11.160848,4,
gps,-30.635534,1.3610783,1,
amid,-2.075878,10.032524,4,
complicit,17.631836,7.365951,4,
coordinate,-15.694245,6.3742304,3,
accusation,12.541669,-20.33635,2,
vindicate,7.301463,-10.440845,4,
fusiongps,-11.558062,-7.9554925,4,
unproven,5.159937,-3.379411,4,
disinfo,13.1333065,4.547321,4,
damning,0.3376004,-6.9365983,4,
credible,4.377969,-6.955397,4,
discredited,3.7159872,1.7489336,4,
investigation,30.703375,14.741673,5,
coverup,-22.309954,-7.3347564,3,
massive,-7.960257,8.330723,0,
insider,-27.256222,-5.0103755,3,
downplay,17.716959,-2.54258,4,
infamous,2.627045,9.613865,4,
extensive,-15.07615,1.035158,3,
fakenews,20.437254,1.2536604,4,
examine,-15.088953,-3.76846,3,
allege,28.634703,9.183376,5,
internal,-16.647982,-0.67939425,3,
russian,-28.414724,5.7682285,1,
conspire,1.072943,-19.481787,0,
unprecedented,1.1810708,23.357044,4,
oppo,-11.543618,-9.382219,3,
crowdstrike,-12.284398,-4.829187,3,
retract,8.754788,-4.7365174,4,
fabrication,7.308177,2.184736,4,
psychological,3.264684,11.779572,4,
hacking,-23.744375,5.509093,1,
revelation,-27.20616,-7.656116,3,
narrative,27.715054,-2.5320969,2,narrative
compliant,2.5575423,-19.51649,4,
repeat,15.838932,-8.597852,2,
malfeasance,5.7763543,15.023688,4,
malicious,2.7916534,0.8965915,4,
