,term,1
89,.==================,0.4609353244304657
97,clapper,0.45630311965942383
105,scrutiny](https://medium.com/@munilass,
116,strzok,0.44389039278030396
160,trading/,
185,e0ee-1562,0.4154846966266632
191,simpson,0.414066880941391
204,akhmetshin,0.4101206362247467
206,492c,0.4094791114330292
221,seymour,0.4060894250869751
233,schiff,0.4035029113292694
2259,comey,
260,brain/994e0b54,
52,campbell,0.39799532294273376
267,cassandra,0.39455997943878174
288,http://dailycaller.com/2017/05/18/even-maxine-waters-says-theres-no-evidence-of-trump-russia-collusion-video/,0.3888009190559387
293,ring](http://archive.is,0.3864962160587311
