,k,cites,users
0,1,progressive (25 <= n <= 99),10677
1,1,conservative (25 <= n <= 99),5281
2,1,progressive (n >= 100),9
3,1,conservative (n >= 100),4
4,1,neutral,378200
5,2,progressive (25 <= n <= 99),8085
6,2,conservative (25 <= n <= 99),3944
7,2,progressive (n >= 100),6
8,2,conservative (n >= 100),3
9,2,neutral,148255
10,3,progressive (25 <= n <= 99),6545
11,3,conservative (25 <= n <= 99),3197
12,3,progressive (n >= 100),2
13,3,conservative (n >= 100),3
14,3,neutral,76221
15,4,progressive (25 <= n <= 99),5511
16,4,conservative (25 <= n <= 99),2818
17,4,progressive (n >= 100),2
18,4,conservative (n >= 100),2
19,4,neutral,47620
20,5,progressive (25 <= n <= 99),4666
21,5,conservative (25 <= n <= 99),2408
22,5,progressive (n >= 100),5
23,5,conservative (n >= 100),2
24,5,neutral,32267
25,6,progressive (25 <= n <= 99),4046
26,6,conservative (25 <= n <= 99),2133
27,6,progressive (n >= 100),0
28,6,conservative (n >= 100),3
29,6,neutral,22924
30,7,progressive (25 <= n <= 99),3638
31,7,conservative (25 <= n <= 99),1850
32,7,progressive (n >= 100),6
33,7,conservative (n >= 100),3
34,7,neutral,17573
35,8,progressive (25 <= n <= 99),3276
36,8,conservative (25 <= n <= 99),1703
37,8,progressive (n >= 100),5
38,8,conservative (n >= 100),2
39,8,neutral,13664
40,9,progressive (25 <= n <= 99),2827
41,9,conservative (25 <= n <= 99),1575
42,9,progressive (n >= 100),2
43,9,conservative (n >= 100),2
44,9,neutral,10787
45,10,progressive (25 <= n <= 99),2689
46,10,conservative (25 <= n <= 99),1435
47,10,progressive (n >= 100),2
48,10,conservative (n >= 100),3
49,10,neutral,9025
50,11,progressive (25 <= n <= 99),2480
51,11,conservative (25 <= n <= 99),1372
52,11,progressive (n >= 100),6
53,11,conservative (n >= 100),4
54,11,neutral,7442
55,12,progressive (25 <= n <= 99),2337
56,12,conservative (25 <= n <= 99),1255
57,12,progressive (n >= 100),3
58,12,conservative (n >= 100),4
59,12,neutral,6182
60,13,progressive (25 <= n <= 99),2113
61,13,conservative (25 <= n <= 99),1129
62,13,progressive (n >= 100),2
63,13,conservative (n >= 100),2
64,13,neutral,5416
65,14,progressive (25 <= n <= 99),2016
66,14,conservative (25 <= n <= 99),1054
67,14,progressive (n >= 100),1
68,14,conservative (n >= 100),1
69,14,neutral,4569
70,15,progressive (25 <= n <= 99),1852
71,15,conservative (25 <= n <= 99),1016
72,15,progressive (n >= 100),0
73,15,conservative (n >= 100),3
74,15,neutral,3927
75,16,progressive (25 <= n <= 99),1678
76,16,conservative (25 <= n <= 99),889
77,16,progressive (n >= 100),1
78,16,conservative (n >= 100),2
79,16,neutral,3449
80,17,progressive (25 <= n <= 99),1530
81,17,conservative (25 <= n <= 99),799
82,17,progressive (n >= 100),5
83,17,conservative (n >= 100),6
84,17,neutral,2993
85,18,progressive (25 <= n <= 99),1509
86,18,conservative (25 <= n <= 99),842
87,18,progressive (n >= 100),3
88,18,conservative (n >= 100),2
89,18,neutral,2790
90,19,progressive (25 <= n <= 99),1442
91,19,conservative (25 <= n <= 99),800
92,19,progressive (n >= 100),5
93,19,conservative (n >= 100),5
94,19,neutral,2357
95,20,progressive (25 <= n <= 99),1362
96,20,conservative (25 <= n <= 99),744
97,20,progressive (n >= 100),6
98,20,conservative (n >= 100),2
99,20,neutral,2004
100,21,progressive (25 <= n <= 99),1337
101,21,conservative (25 <= n <= 99),740
102,21,progressive (n >= 100),4
103,21,conservative (n >= 100),4
104,21,neutral,1866
105,22,progressive (25 <= n <= 99),1222
106,22,conservative (25 <= n <= 99),668
107,22,progressive (n >= 100),4
108,22,conservative (n >= 100),1
109,22,neutral,1587
110,23,progressive (25 <= n <= 99),1183
111,23,conservative (25 <= n <= 99),648
112,23,progressive (n >= 100),1
113,23,conservative (n >= 100),2
114,23,neutral,1541
115,24,progressive (25 <= n <= 99),1058
116,24,conservative (25 <= n <= 99),602
117,24,progressive (n >= 100),6
118,24,conservative (n >= 100),2
119,24,neutral,1280
120,25,progressive (25 <= n <= 99),985
121,25,conservative (25 <= n <= 99),582
122,25,progressive (n >= 100),2
123,25,conservative (n >= 100),5
124,25,neutral,1196
125,26,progressive (25 <= n <= 99),965
126,26,conservative (25 <= n <= 99),546
127,26,progressive (n >= 100),0
128,26,conservative (n >= 100),1
129,26,neutral,1146
130,27,progressive (25 <= n <= 99),992
131,27,conservative (25 <= n <= 99),546
132,27,progressive (n >= 100),3
133,27,conservative (n >= 100),4
134,27,neutral,1085
135,28,progressive (25 <= n <= 99),923
136,28,conservative (25 <= n <= 99),499
137,28,progressive (n >= 100),4
138,28,conservative (n >= 100),3
139,28,neutral,929
140,29,progressive (25 <= n <= 99),887
141,29,conservative (25 <= n <= 99),478
142,29,progressive (n >= 100),2
143,29,conservative (n >= 100),0
144,29,neutral,886
145,30,progressive (25 <= n <= 99),882
146,30,conservative (25 <= n <= 99),522
147,30,progressive (n >= 100),2
148,30,conservative (n >= 100),0
149,30,neutral,837
150,31,progressive (25 <= n <= 99),757
151,31,conservative (25 <= n <= 99),430
152,31,progressive (n >= 100),2
153,31,conservative (n >= 100),0
154,31,neutral,684
155,32,progressive (25 <= n <= 99),782
156,32,conservative (25 <= n <= 99),428
157,32,progressive (n >= 100),7
158,32,conservative (n >= 100),2
159,32,neutral,668
160,33,progressive (25 <= n <= 99),749
161,33,conservative (25 <= n <= 99),404
162,33,progressive (n >= 100),4
163,33,conservative (n >= 100),0
164,33,neutral,560
165,34,progressive (25 <= n <= 99),719
166,34,conservative (25 <= n <= 99),365
167,34,progressive (n >= 100),4
168,34,conservative (n >= 100),3
169,34,neutral,610
170,35,progressive (25 <= n <= 99),689
171,35,conservative (25 <= n <= 99),402
172,35,progressive (n >= 100),1
173,35,conservative (n >= 100),2
174,35,neutral,567
175,36,progressive (25 <= n <= 99),735
176,36,conservative (25 <= n <= 99),376
177,36,progressive (n >= 100),2
178,36,conservative (n >= 100),1
179,36,neutral,514
180,37,progressive (25 <= n <= 99),640
181,37,conservative (25 <= n <= 99),380
182,37,progressive (n >= 100),2
183,37,conservative (n >= 100),5
184,37,neutral,451
185,38,progressive (25 <= n <= 99),582
186,38,conservative (25 <= n <= 99),336
187,38,progressive (n >= 100),5
188,38,conservative (n >= 100),4
189,38,neutral,461
190,39,progressive (25 <= n <= 99),564
191,39,conservative (25 <= n <= 99),343
192,39,progressive (n >= 100),5
193,39,conservative (n >= 100),0
194,39,neutral,348
195,40,progressive (25 <= n <= 99),560
196,40,conservative (25 <= n <= 99),310
197,40,progressive (n >= 100),1
198,40,conservative (n >= 100),3
199,40,neutral,365
200,41,progressive (25 <= n <= 99),585
201,41,conservative (25 <= n <= 99),307
202,41,progressive (n >= 100),3
203,41,conservative (n >= 100),2
204,41,neutral,337
205,42,progressive (25 <= n <= 99),590
206,42,conservative (25 <= n <= 99),326
207,42,progressive (n >= 100),0
208,42,conservative (n >= 100),2
209,42,neutral,317
210,43,progressive (25 <= n <= 99),480
211,43,conservative (25 <= n <= 99),272
212,43,progressive (n >= 100),1
213,43,conservative (n >= 100),5
214,43,neutral,292
215,44,progressive (25 <= n <= 99),514
