term,x,y,k,mark
conservative,-16.882927,22.479149,1,
liberal,-15.847324,22.304638,1,
socially,-18.659136,21.673988,4,
leftist,-13.9408245,21.416752,1,
conservatism,-18.829203,15.734449,1,
fringe,-4.6131835,22.601368,1,
moderate,-12.335897,26.473145,1,
fiscally,-9.472326,-17.961773,0,
mainstream,-2.3403957,24.670471,1,
reactionary,2.986285,5.2723737,0,
libertarian,-20.398952,17.408121,1,
liberalism,-18.168571,15.613578,1,
centrist,-12.896518,26.125528,1,
classical,-12.6975765,9.227092,0,
ultra,-10.8091135,-16.795862,0,
left,-12.530317,23.05175,1,
traditional,4.4642997,-1.40294,4,
influential,6.6273212,-8.355809,0,
tend,1.9911813,-33.569855,5,
christian,19.842897,24.934845,3,
progressive,-14.617662,26.092403,1,
ideological,-4.0524096,8.109344,4,
cater,3.057597,-12.572207,0,
ideologically,-3.0192487,6.31841,4,
lean,-10.679598,27.15169,5,
fundamentalist,17.200949,24.841501,3,
extremist,12.137799,24.14353,2,
hardcore,13.312268,0.36275342,0,
intolerant,6.93316,7.2559295,0,
viewpoint,-1.0816375,8.838675,4,
pander,14.726993,0.45977852,2,
mainly,-1.4467546,-21.934227,0,
ideology,-5.3461623,11.024672,1,
evangelical,20.149492,26.605755,3,
extreme,-4.2689195,20.845728,1,
amygdala,-1.3154074,-15.593344,0,
embrace,-26.260483,-4.297984,1,
neoconservative,-18.200506,2.892079,0,
core,3.4381177,15.849225,4,
religious,19.828527,23.497227,3,
elitist,-9.401757,-11.352528,0,
pundit,0.73514235,25.249874,0,
marxist,-12.878985,12.354534,0,
politician,4.4260826,-29.261343,5,
libertarianism,-7.5135474,-1.396842,0,
intellectual,-12.218287,3.4891744,4,
neoliberal,-19.314102,7.411264,1,
radical,10.513218,23.569658,1,
pseudo,-7.5575857,0.41343972,0,
neoliberalism,-17.991089,9.850116,4,
sjw,-19.113497,-15.448655,2,
outspoken,4.336516,-9.371869,0,
academia,-4.3641024,-3.9091847,0,
commentator,1.4845077,24.201641,0,
wing,-5.48378,24.12804,1,
anarchist,-12.768187,16.71904,0,
elite,-20.946564,-8.686838,4,
regressive,1.4668889,5.1072197,4,
christianity,16.866245,24.304268,3,
voice,15.966506,4.85743,0,
diverse,9.013875,-27.76177,5,
republican,24.156773,-25.81156,5,
align,18.076979,-10.377941,4,
democrat,23.783854,-27.965963,5,
base,6.179025,14.864106,5,
dominate,6.281492,-3.475411,5,
theology,-1.6163372,-5.550322,0,
ideal,-5.6846576,5.9628954,4,
nativist,5.5054493,8.299738,0,
typical,20.877121,-15.379677,0,
independent,7.2294626,-18.167725,5,
pragmatic,-4.203273,5.9607453,4,
alienate,6.5397625,-13.258611,5,
catholics,16.878475,29.451122,3,
tank,6.985835,-7.1614246,0,
philosophy,-10.015015,10.523628,4,
dixiecrat,-6.444527,-7.4746356,0,
compassionate,-1.9589112,-7.2782393,0,
view,-0.6556844,9.962732,4,
populist,-21.026222,10.936624,1,
secular,-1.5371453,-3.463714,0,
populism,-19.87165,10.861255,1,
largely,-3.2123795,-24.000057,5,
fiscal,-9.492431,-19.197546,4,
prominent,6.9350166,-9.49732,0,
feminist,-22.309412,-14.615173,2,
nutty,-4.4978867,-6.882685,0,
intolerance,10.469346,11.819056,0,
right,-9.833013,-7.003667,0,
mindset,-5.1419544,-13.078193,0,
faction,-21.933172,1.7808874,1,faction
neo,-10.2990675,15.111246,2,
enlightenment,-3.3488207,-4.9446554,0,
tendency,-2.3560207,13.569049,4,
one,0.36159602,-27.61394,5,
attitude,9.312525,10.286737,4,
brainwash,1.4919934,-10.805807,0,
constituency,6.411912,-19.439947,0,
vocal,5.2210608,-11.421037,0,
wingnut,-8.254792,-10.136602,0,
socialist,-14.836562,14.778867,1,
republicans,24.628117,-26.785727,5,
outlet,-1.8452326,25.94162,0,
extremism,11.252798,22.218403,3,
demonize,11.059047,-4.070968,0,
appeal,7.4716635,-14.095878,5,
skew,3.394667,-22.723713,5,
especially,-0.9418983,-28.937685,5,
motivate,7.8887305,12.84383,5,
christians,19.101648,26.067701,3,
tea,-24.168232,18.940697,1,
reinforce,4.232994,14.112935,0,
corporatist,-19.854675,3.5608506,0,
opposite,24.211027,-7.0741744,4,
mormon,17.332455,29.06297,0,
viewer,11.840845,-20.620998,0,
generally,1.6163149,-33.39991,5,
millennial,5.983729,-25.3159,5,
somewhat,-4.1781054,-14.612668,4,
classic,-13.929724,7.3930573,0,
divisive,7.502879,4.744869,0,
atheist,16.508318,27.084986,3,
feminism,-21.190653,-14.4061365,4,
orthodox,15.840581,29.225468,0,
marxism,-12.382092,10.473217,0,
spectrum,-8.292238,11.210919,4,
breitbart,1.2776412,26.485065,0,
principle,-7.5833163,6.610381,4,
nevertrump,-2.7528737,-10.945333,0,
differ,15.655633,-10.931203,0,
nazism,-9.214396,14.773437,0,
sjws,-16.858261,-15.139595,0,
biased,14.688645,-18.375298,0,
nationalist,-26.44338,12.9490185,2,
media,-0.79100466,34.096176,0,
radio,3.2445738,23.181473,0,
economically,-20.7325,22.477705,4,
establishment,-21.65433,3.8958359,1,
subset,-0.82692003,-20.175049,0,
perspective,-5.4434395,-15.809301,4,
capitalist,-15.488282,11.52828,1,
academic,-12.135479,1.2358366,4,
sympathetic,0.7330436,-8.724746,0,
bastion,0.5593996,-3.4413567,0,
