term,x,y,k,mark
mueller,-20.98875,16.485016,4,
indictment,-22.257467,15.032896,0,
doj,-11.640133,19.44388,0,
investigator,-15.174326,26.113766,5,
fbi,-11.402539,17.977585,3,
prosecutor,-12.744275,23.69411,0,
probe,-16.049414,28.681097,5,
counsel,-12.131738,24.564236,4,
f.b.i,-6.9333987,7.459893,2,
investigation,-16.39996,29.768976,5,
recuse,-14.109552,19.582087,2,
firing,-15.358418,18.382938,2,
ag,-12.258953,21.7026,4,
cooperate,-0.1859242,13.714014,5,
resignation,-15.882053,16.936243,2,
lawyer,-18.865269,-13.557754,4,
investigate,-16.618364,30.466904,5,
inquiry,-15.637161,27.077297,5,
recusal,5.8815594,-1.7052137,2,
subpoena,-18.220188,22.6698,5,
warrant,-12.435667,12.968001,5,
special,9.686369,-2.7205222,2,
bombshell,-9.27791,5.5941844,2,
ongoing,-4.9499607,-15.879189,5,
team,19.455273,-3.2166054,4,team
resign,-16.538042,16.064423,4,
indict,-22.697891,14.408995,0,
fire,-16.401531,19.015928,2,
obstruction,-4.6446743,29.832613,0,
session,13.668682,-9.666203,4,
wrongdoing,-14.265852,0.12696561,5,
prosecution,-23.74056,9.711679,0,prosecution
wh,18.37494,0.18832473,2,
improper,0.37074474,-6.1859446,2,
impeachment,-27.069635,17.122393,0,
natsec,1.617519,6.1262054,2,
counterintelligence,-1.044908,11.693204,2,
recommendation,7.6555495,-2.524317,2,
whitewater,-5.071658,-0.8384882,2,
leaker,-11.94685,7.012028,2,
watergate,-7.62957,15.149749,2,
collusion,-15.448138,-0.38792363,5,
ic,-12.206307,7.8788176,2,
attorney,-10.552727,23.220245,4,
reportedly,22.60649,-1.6995612,4,
russia,-13.037465,-19.119743,1,russia
vindicate,-1.1562631,3.592222,2,
aide,23.872105,0.4622391,4,
obstruct,-4.573247,29.819744,0,
jury,-28.842,10.66645,0,
confirmation,12.900516,-3.601432,2,
indication,-8.029701,0.8906123,2,
testify,-19.60012,23.264849,5,
wiretap,-9.665582,11.473861,5,
wether,2.9214716,1.6462629,2,
preliminary,8.985072,2.6254244,2,
ethic,1.3029828,-8.000536,4,
immunity,7.9092164,-8.862115,0,
reopen,-11.91782,1.9778026,2,
irs,-4.571283,21.53968,0,
uncover,-8.72014,-6.0948977,5,
fury,12.0741205,11.757775,2,
potentially,3.5851233,-12.355281,2,
dismissal,0.34296107,1.1687306,2,
witness,-4.1470456,-8.989178,0,
probable,3.7065024,-6.626823,2,
predawn,3.611629,3.888993,2,
icc,5.818686,5.8471966,2,
perjury,-22.98085,8.585767,0,
possible,5.199245,-12.936269,2,
dhs,2.3153114,20.36053,2,
revelation,-9.990159,4.8809195,5,
criminal,-20.713543,8.539105,0,
fed,8.602261,-5.530907,2,
impanel,5.186074,4.1493306,2,
fisa,-11.914844,12.718464,5,
prosecute,-22.975264,11.624887,0,
proceeding,-27.269707,9.408373,0,
speculate,-2.0622807,2.461287,2,
trial,-27.268194,10.609571,0,
transition,18.003016,-3.0674908,4,
dossier,-21.325058,-7.549226,5,
quietly,14.921867,7.656957,2,
gps,-18.932867,-10.606235,2,
underway,-2.2760274,-14.980873,2,
implicate,-10.653483,-5.460247,2,
steele,-20.792421,-8.112748,5,steele
legal,14.341276,17.467527,0,
dni,-6.6406217,9.3399315,2,
testimony,-21.144873,24.31,5,
signal,1.1219839,-2.2779891,2,
impeach,-26.632547,17.235811,0,
guilty,-24.314991,7.30489,0,
client,-18.813778,-12.4117985,4,
bureau,1.7035822,22.342543,2,
pardon,-24.85724,13.267622,0,
seal,8.171515,18.300304,2,
case,-28.285742,7.3277645,0,
inspector,0.9295794,20.192827,4,
staffer,23.312485,1.2499331,5,
coordination,-9.235383,-11.925455,5,
improperly,1.551733,-4.935631,2,
ns,1.1496607,5.6101794,2,
amid,-0.6638088,-14.743267,2,
abruptly,13.841471,6.6667576,2,
soon,20.894497,8.531108,2,
intel,-13.579551,8.563764,3,intel
racketeering,-5.735392,-6.309837,0,
charge,-22.156282,10.012911,0,
asap,4.806535,7.274081,2,
fusion,-18.98575,-10.365984,2,
notify,12.012089,-0.68108225,2,
examine,3.0630095,13.325597,2,
nsc,18.660477,-1.1259624,2,
damning,-13.790646,-5.3648734,2,
nsa,9.213228,-22.41491,3,
heel,10.913979,8.712786,2,
staff,19.481007,1.1628932,4,
memo,-8.506655,7.786361,5,
boss,6.7820845,10.476828,2,
agent,-3.8983562,13.872513,5,
bondi,-4.2305017,19.457367,2,
plea,6.5740395,-8.554327,0,
convene,4.051323,4.5158567,2,
scrutiny,6.681663,14.740528,5,
connection,-10.7404995,-8.2788315,5,
ig,-4.713788,8.301071,2,
raid,7.5453167,19.551868,2,
frivolous,-0.23858654,-0.21744114,2,
wiretapping,-8.670544,10.784456,2,
defendant,-2.4667754,-9.85226,0,
hearing,-21.596205,24.618664,5,
pertinent,-4.89803,2.6844206,2,
restart,3.7278798,5.876831,2,
timing,-6.1134825,2.3357449,2,
actionable,0.7367877,3.1838114,2,
investigative,0.08734234,10.844461,5,
heat,12.021309,9.612481,2,
conviction,-25.411034,9.78247,0,
fsb,-5.105157,12.321932,2,
distraction,-2.689012,4.5285025,2,
delay,11.95802,1.6736671,2,
info,-21.09072,-1.1357665,5,
exonerate,-12.150278,0.8434948,2,
comm,2.3598752,3.2835472,2,
advise,19.86278,-1.2712296,4,
reichstag,11.896414,12.26588,2,
handling,-17.09087,4.6391654,2,
pursue,-0.17565787,14.975142,2,
da,7.363128,5.1854277,2,
mishandle,-17.526659,4.2813044,2,
foia,-18.652933,3.2418423,5,
kremlin,-14.370499,-19.505384,1,
scrutinize,2.6664135,12.015679,2,
immediately,17.67511,6.723384,2,
compel,3.1288698,-4.3162537,2,
benghazi,-6.0551195,-1.3127452,5,
conclude,3.4187376,14.369326,2,
jr,23.27613,-2.856632,4,
unseal,7.0816383,3.416194,2,
eventually,20.967047,8.831176,2,
gchq,-1.2841841,7.826196,2,
possibility,5.858321,-13.997449,2,
possibly,4.5822835,-11.584585,2,
quickly,18.571468,7.155639,2,
cfius,5.450414,1.1091402,2,
dirt,-15.383546,-3.8510094,5,
fec,-3.381292,19.97761,0,
gsa,6.9685173,0.7750376,2,
rogue,4.720397,9.351675,2,
discovery,9.621235,4.075482,2,
russians,-12.7773905,-19.019787,1,
pentagon,3.9788861,21.06387,2,
omb,4.499034,1.906108,2,
communication,-9.737749,-13.210835,3,
perjure,-2.8846,0.21193704,2,
suspect,-10.007602,-3.3516026,5,
rationale,2.1721208,0.112758845,2,
task,14.412259,0.04004758,2,
alleged,-5.7454453,-4.969899,2,
ahead,-1.9701605,-16.738186,2,
criminally,4.422099,-9.600796,2,
homenews,17.232738,13.303694,2,
covertly,-3.3801918,-3.7319164,2,
timeline,-6.656525,3.4510868,2,
mi6,-3.8985162,12.344162,2,
ready,15.191359,8.838853,2,
treason,-22.409138,7.0819926,0,
interim,9.4513,-0.9937466,2,
breach,-10.826191,-11.375378,5,
marshal,7.0585766,7.1196613,2,
administration,3.0295906,18.772081,4,
legality,3.5212379,-1.4658709,2,
controversy,-3.912655,5.255272,2,controversy
incriminate,-13.703491,-3.992313,2,
hope,20.75203,-10.349555,2,
leak,-12.385899,5.532232,5,
department,-9.968812,19.858229,4,
plaintiff,-2.911363,-9.342963,0,
confirm,12.776262,-2.0104668,5,
quash,2.922657,7.9053755,2,
pi,2.6871607,4.386427,2,
kompromat,-13.080872,-3.7265644,2,
evidence,-9.19879,0.34123966,5,
cia,9.3804455,-22.323172,3,
sever,-2.1082735,-2.655159,2,
termination,4.446355,0.18149376,2,
information,-21.160196,-1.1702042,5,
cooperation,-7.6895103,-12.667055,2,
somebody,8.949016,11.148556,2,
mooch,8.924481,9.860388,2,
hiring,8.176301,0.6399489,2,
adviser,24.9413,0.04020371,4,
hopefully,20.432575,-10.616188,2,
scope,-1.0561297,-6.393934,2,
laundering,-7.265162,-7.3421426,0,
wait,19.331203,-11.622173,2,
initially,16.036024,5.1444945,2,
start,-2.8998227,-13.977274,2,
personally,4.365328,-4.031843,2,
proceed,7.228509,-5.48855,2,
suspicious,-11.584837,-3.6372817,5,
oig,-4.450433,8.5308695,2,
kickback,3.6311185,3.0343635,2,
informant,-1.967913,10.886859,2,
