term,x,y,k,mark
putin,1.0277871,-5.4832935,0,putin
dictator,-6.6166177,8.54189,3,
madman,-7.206744,6.901726,3,
kremlin,2.7647533,-5.3029966,0,
autocrat,-6.984317,8.5261135,3,
ruzzia,7.9689965,3.232836,0,
underling,0.36693937,-5.4531426,4,
despot,-6.7374763,8.24969,3,despot
maniac,-6.7373247,6.897034,3,
tyrant,-6.6424723,8.205269,3,
megalomaniac,-6.844259,5.897865,3,
crony,-5.311065,-5.110266,1,
entourage,0.3667524,-3.996329,4,
lackey,-3.0388136,-4.987242,1,
embolden,1.1566547,5.589082,2,
leader,-1.2498025,-7.1844835,1,
everybody,8.266253,-0.30040735,0,
bluff,2.631188,7.442614,2,bluff
strongman,-7.4939747,8.882112,3,
lapdog,-2.5629683,-4.8516874,1,
warmonger,-2.9033237,6.46866,3,
russia,6.7732234,3.868011,0,
grovel,-0.70457006,-1.4108458,4,
russias,7.0447254,4.239098,0,
whomever,4.2665606,-1.6702257,0,
henchman,-3.560025,-5.051622,1,
murderous,-4.470277,7.7797065,3,
dare,-2.4015815,0.047430534,0,
depose,-7.424623,-8.001343,1,
egomaniac,-4.6753025,3.5492234,4,
siloviki,-0.27146843,-4.5274224,1,
appeaser,0.04080337,0.07072466,4,
humiliate,3.545891,3.9661212,2,
sycophant,-2.8365238,-5.935303,1,sycophant
minion,-3.2533104,-5.050207,1,
please,-1.4662648,-0.0066449596,4,
appease,-0.22624223,5.2063603,2,
kleptocrat,-4.9679313,-5.0911183,1,
maniacal,-3.6773682,3.3987608,4,
anybody,8.130537,-0.5855477,0,
president,-1.4418625,-7.8478003,1,
oust,-7.427664,-8.000835,1,
tfg,2.180155,-1.9873024,4,
bluster,2.535481,7.1811504,4,
regime,-6.2381105,9.499302,3,
tzar,-4.4523897,-9.931999,3,
toady,0.17481911,-1.6224666,4,
cowardly,-10.7059765,1.2457669,4,
kreml,2.7422183,-4.5542126,4,
cower,5.376416,-3.5020335,4,
ego,-8.666979,5.372476,3,
daddy,-2.0083022,-4.2290483,1,
psycho,-6.1124134,5.0343385,3,
psychopath,-7.026915,5.6654563,3,
coward,-10.734202,1.2606302,1,
hardliner,0.9506823,-3.9809978,4,
lunatic,-6.4647455,6.051302,3,
czar,-4.4416437,-9.948584,3,
expansionist,-9.972074,8.682647,3,
capitulate,-6.5698285,-1.5795738,2,
megalomaniacal,-3.5191767,3.3010054,4,
warmongering,-2.9730651,6.421156,3,
putrid,-0.20897587,-0.70223284,4,
egotistical,-5.88585,4.082392,3,
oligarch,-6.599357,-5.506588,1,
acquiesce,2.3763266,2.1592233,4,
ruzzkie,2.4546337,-1.1178399,4,
paranoid,-8.237422,3.402801,3,
warmongere,-2.894882,5.733678,4,
imperialistic,-10.016007,8.693651,3,
keeps,2.9680235,0.5381,4,
foolishly,3.208802,-0.09414539,4,
psychopathic,-6.3935194,4.929767,3,
dethrone,-0.9625944,-3.093285,4,
genocidal,-4.4411135,7.768843,3,
clown,4.511784,6.3623443,1,
justifiably,4.890374,-0.54654866,4,
somebody,8.480301,-0.9664001,0,
personally,7.589193,-0.5803385,0,
yesman,1.7659159,-2.3480062,4,
kowtow,-0.9356168,-1.2607685,4,
west,6.5313773,3.7512345,0,
lackie,1.295102,-1.1667798,4,
miscalculate,2.605043,5.5087676,4,
purim,1.9071575,-1.5407755,4,
senile,-6.0853257,3.1151974,1,
thug,-4.4695063,-6.5522437,1,
ruzzian,8.175052,2.75358,0,
revanchist,-2.1247375,4.5298243,3,
bff,-0.8509676,-2.235378,4,
desperate,-2.4506376,1.2543744,4,
puppeteer,0.50592035,-0.9637251,4,puppeteer
motherland,8.918371,3.5022733,0,
placate,0.014888856,4.457336,4,
ambition,-1.948924,4.8832026,3,
demented,-6.038074,3.5213504,4,
weakling,0.36906764,-0.019386105,4,
egomaniacal,-1.8820329,1.9099586,4,
agressor,-3.9664536,-0.46569398,0,
royally,3.3063216,-2.1018581,0,
moscow,3.4164546,-5.3879747,0,
want,-0.9031306,0.7514062,0,
afraid,6.632675,-3.8717735,4,
rightfully,5.2544765,-0.44197282,0,
swiftly,3.3605523,1.5589324,0,
publicly,4.8073893,-8.058716,0,
rushist,2.3385837,-0.9829359,4,
opponent,5.4233084,1.507962,0,
ilk,-2.7258208,-2.5689561,4,
relent,2.2267542,0.61361724,4,
leash,-1.5928617,-1.3802234,4,
preemptively,-2.5169182,-0.96438396,0,
tsar,-4.37255,-9.99733,3,
goad,1.9721746,4.9466414,4,
homicidal,-4.0632935,3.413681,4,
ukraine,-4.6789193,-2.098776,0,
legitimately,6.355155,-0.21872957,0,
ukriane,-4.6115108,-2.0590634,0,
lest,4.018292,-0.88987845,0,
ccp,6.1319,-6.108386,0,
goon,-4.180569,-6.2603526,1,
publically,4.5693736,-7.6423135,0,
aggressor,-4.2030706,-0.68313086,0,
fuhrer,2.9315817,-3.462788,4,
enabler,-4.080593,-4.140083,1,
offramp,1.7822386,1.1095533,4,
oligarchs,-6.607402,-5.5054913,1,
bully,-5.2703433,0.37254274,0,
crazed,-4.323724,3.9911299,4,
russland,7.048342,5.1350102,0,
assasinate,-0.6837619,-3.5055783,4,
bidding,-3.0950015,-3.768504,1,
lash,5.6165237,-2.2923505,4,
secretly,2.6230261,-7.5042696,0,
hellbent,-2.2395775,2.4606357,4,
scumbag,-2.1992395,9.145671,1,
putz,1.3901163,-1.0567354,4,
despotic,-4.3266788,5.1616225,3,
megalomania,-1.5258996,2.1989057,4,
poisoner,1.1688095,-2.2036986,4,
g7,9.16918,-6.007773,0,
openly,4.9219227,-8.142612,0,
seriously,6.614397,0.07867574,0,
sycophantic,0.44130388,-1.50678,4,
resign,1.3934441,-6.8865047,1,
succeed,-1.7146031,-2.8289852,4,
feels,5.81869,-1.8708265,0,
rusia,5.8319917,4.2144628,0,
conventionally,5.200757,1.5744473,0,
ruthless,-5.112606,5.750988,3,
blackmailer,1.8303392,-0.6115723,4,
deranged,-7.475051,3.8336804,3,
guy,9.05859,-1.5567192,0,
foolish,-7.856479,0.8232431,4,
unhinged,-7.764099,3.635404,3,
diplomatically,3.9540303,2.7794757,2,
scared,6.674165,-3.9535415,4,
psychotic,-6.9764223,3.9717453,3,
neighbor,-4.874648,0.23433225,0,
führer,2.835545,-3.3904727,4,
appeasement,-0.32095355,5.579022,2,
credibly,4.4104404,0.54389155,0,
resist,1.6713914,4.0917177,0,
hesitate,7.431153,-2.8429067,0,
brazenly,0.9514693,0.37837562,4,
cajole,1.8310071,-0.102071196,4,
deserve,-1.3336078,0.671325,4,
politician,-1.1897236,-6.70409,1,
unconditionally,-7.0885644,-2.5719788,0,
deathly,4.773999,-2.951817,4,
masterplan,1.3893027,-0.651153,4,
blackmail,0.29748648,3.7364182,2,
boss,0.32406837,-6.1499195,1,
reckless,-7.8776484,0.98229873,4,
bastard,-2.1476665,9.1925335,1,
madness,-1.8430427,3.2561944,4,
putinist,1.722872,-4.1101193,4,
suicidal,-7.8156114,2.15339,4,
tacitly,5.4003544,-6.297331,0,
unconditional,-7.322432,-2.610313,2,
midget,-4.5035996,2.1328053,4,
brazen,-0.13657941,2.3170855,4,
pawn,-0.10506542,7.3411922,1,
imperialist,-10.080811,8.71053,3,
rapist,-3.2177534,9.127752,1,
negotiator,-1.2182821,-8.261429,2,
negotiating,2.3109283,2.8344703,2,
endgame,1.3340667,2.1165712,4,
g20,9.164659,-6.005716,0,
