term,x,y,k,mark
russia,2.3660452,-9.967453,4,
west,2.3226173,-9.62838,4,
russias,3.1665227,-9.818613,4,
ruzzia,2.3602793,-10.84038,3,
ukraine,0.06667923,-12.140005,3,
country,6.824625,-2.1281307,4,
militarily,10.261912,1.6596284,4,
ukriane,0.110614546,-12.208914,3,
russians,2.6152759,-11.822123,3,
belarus,-3.1402013,-12.869753,0,
nato,-5.032314,-10.159745,0,
china,9.446671,-5.206027,4,
taiwan,8.738275,-6.2323956,4,
europe,3.6640294,-5.4268084,4,
aggressor,2.0153003,8.4953575,2,aggressor
russsia,-3.3480947,-1.4094485,3,
nation,6.908912,-2.1170356,4,
russua,-2.7607872,-1.891244,3,
ally,5.2808666,-3.5882792,4,
territory,6.9115014,-10.91734,1,
agressor,1.749401,7.7245297,3,
usa,5.707623,-4.441432,4,
conventionally,-6.7688713,3.696509,3,
eu,-7.3117137,-10.720741,0,
lithuania,-5.715814,-13.944398,0,
neighbor,6.390128,11.619832,2,
crimea,6.6596746,-11.389041,1,
demilitarise,-2.8271847,4.1772623,3,
allie,5.4071403,-4.062749,3,
neighbour,6.344136,11.61835,2,
continue,-8.931584,5.2177334,3,
mainland,7.436735,-7.456188,4,
economically,10.366817,1.6787157,4,
ukrain,0.064457394,-12.285503,3,
moldova,-2.6205223,-15.11324,0,
deter,-5.850251,8.705186,2,
rusia,-0.304773,-9.895449,3,
western,-10.812303,-7.554574,3,
landgrab,0.1451217,-1.4340489,3,
weaken,6.638676,2.8589122,4,
u.s./nato,-1.8549446,0.68820363,3,
weakened,5.1703544,0.54243964,3,
territorially,-1.1361197,-1.6604476,3,
finland,-7.0067725,-13.735191,0,
russia‘s,-1.7866893,-0.35403097,3,
russian,2.9498155,-13.804365,3,
decisively,-7.1732416,3.9521048,4,
demilitarize,-2.6191213,4.6043873,1,
azerbaijan,-3.822957,-17.397823,0,
pre-2014,0.37694257,-7.714199,3,
india,9.89507,-5.425658,4,
succesfully,-5.4665794,-0.582142,3,
annexe,0.6525355,-6.99016,3,
ukranie,-4.938028,-2.2841954,3,
ussr,5.198081,-0.48577404,4,
kazakhstan,-3.0744,-12.897157,0,
unprovoked,1.6814824,9.4892025,2,
georgia,-2.8118901,-15.457542,0,
outright,-9.597086,-2.7213044,3,
urkaine,-5.0203953,-2.7725337,3,
prevent,-6.5653315,7.827258,4,
russland,-2.3731465,-9.971797,1,
turkey,-4.4097204,-17.387451,0,
moscow,-1.2684944,-7.868109,3,
contrie,-2.2449186,-4.3389816,3,
denuclearize,-2.8174922,5.570319,3,
provocation,-0.27704486,9.160047,2,
petrostate,2.4485047,-4.498153,3,
diplomatically,9.054705,0.7689516,4,
finnland,-2.6239924,-8.912045,3,
ourself,-6.076238,-3.632809,3,
resist,2.575475,2.6086447,2,
poland,-6.398355,-14.4304695,0,
transnistria,-2.1460783,-14.828555,0,
germany,4.3188753,-6.4465656,3,
aggress,0.4537444,4.084711,3,
rf,3.2478833,-15.622618,3,
adversary,10.209163,6.1028876,4,
natos,-5.022331,-9.990223,3,
sovereignity,-6.39053,-6.557839,3,
countrys,-2.5400803,-5.328354,3,
donbas,6.481055,-12.937111,1,
ukaine,-4.1558027,-1.9859376,3,
tiawan,-3.9252157,-3.3192792,3,
superpower,8.208135,-2.7494564,4,
serbia,-5.065901,-16.981258,0,
illegaly,-2.1033766,-3.0885098,3,
indefinitely,-9.330308,4.326893,3,
simply,-9.149969,-2.1691756,3,
poise,1.5514725,-1.1975573,3,
demilitarisation,-3.1079762,4.024357,3,
unconditionally,-4.9828477,4.7212415,3,
kalingrad,-1.0911204,-7.712139,3,
pakistan,10.51218,-5.635929,4,
geopolitically,10.036545,0.64829814,4,
donbass,6.4525924,-12.913461,1,
keeps,-4.1807504,-0.4845992,3,
nk,10.033426,-4.2198534,4,
war,6.0822234,7.068212,3,
neighboring,4.8436193,11.637357,2,
defensively,-6.0808544,3.1415403,3,
want,-6.778706,-3.5538208,3,
massively,-7.6616883,-2.018785,4,
2014,5.586722,-11.831124,1,
kaliningrad,-5.07735,-13.763273,0,
theirs,-6.9243183,-5.177779,3,
leverage,2.8126945,-0.19083068,4,
