term,x,y,k,mark
ukraine,6.3769836,1.8902619,0,
russia,6.3677955,0.8051193,0,
donbas,8.052499,7.3451757,1,
ukrainians,7.176951,11.165978,0,
ua,-2.649024,9.409998,1,
belarus,3.7246368,7.02999,4,
donbass,8.047659,7.3462243,1,
crimea,8.238386,5.702162,1,
ukrania,4.3643017,0.48540175,0,
ukrainian,5.591044,6.6869993,1,
europe,7.5610476,-0.45483586,4,
continue,-2.278222,-5.804158,0,
ukr,-2.3154683,10.3286495,1,
ruzzia,6.0971494,1.0351065,0,
west,6.517074,0.4162259,0,
transnistria,5.028883,8.348938,1,
territory,8.469566,5.1012244,1,
ukraina,11.041082,2.6977313,0,
moldova,4.486859,8.703713,4,
russias,2.9173727,-6.653369,0,
nato,2.9600124,-8.568573,4,
aggressor,5.4526196,-6.6911435,3,
country,8.626751,0.039365802,4,
militarily,-8.197518,-0.250869,3,
poland,-10.272407,-4.3421545,4,
kyiv,0.31378043,8.322181,1,
reinforcement,-5.861155,6.7677236,2,
nato/,3.477267,-1.9141792,0,
agressor,5.5267687,-6.0414653,0,
krim,7.5936847,6.070482,1,
prolong,-2.4793758,-7.775151,3,
uaf,-2.7804463,9.210895,1,
materiel,-9.094288,8.128713,2,materiel
transistria,2.6289284,2.1724842,0,
decisively,-6.6685123,-0.34076938,3,
separatist,10.288885,7.324219,1,
weaken,-5.8303385,-5.7281156,3,
conventionally,-6.577578,0.53079313,0,
kaliningrad,2.9551888,5.497229,4,
russians,7.144044,11.11665,0,
ally,4.9688115,-3.2885604,3,
regroup,-4.457968,6.444155,1,
nation,8.759649,0.08449367,4,
kiev,0.3205569,8.328959,1,
demilitarise,8.395225,-2.8988638,0,
demilitarize,8.461708,-3.4833558,1,
troop,-6.344593,6.109147,2,
kalingrad,3.3851066,4.1234956,0,
front,-3.1655297,6.8359303,2,
fend,-4.0701675,-1.6636381,0,
annexe,4.1445837,2.9899614,0,
deter,9.543004,-9.286874,3,
stalemate,-2.4976068,-9.466922,1,
azerbaijan,3.3587003,11.657978,4,
kriegstreiberei,1.1509249,-0.21637349,0,
bolster,-5.5420055,-5.3383126,0,
proxy,-0.34537053,-8.819918,3,
prepare,-6.554167,-2.811081,0,
keeps,0.59808236,2.2358198,0,
territorial,7.4613037,4.182503,1,
finland,-10.898262,-3.2715273,4,
belarussia,2.5496726,0.8984601,0,
homeland,9.07632,13.0223055,0,
krimea,2.639966,1.7136947,0,
peacekeeper,-12.711088,4.1245017,1,
syria,3.1275744,10.55183,4,
ldnr,5.988155,5.355348,1,
willingness,-1.3952444,-4.2718434,3,willingness
georgia,4.059313,9.3556595,4,
frontline,-3.2200444,8.319682,1,frontline
mobilise,-10.693055,1.053122,1,
seperatist,10.221151,7.36577,1,
attrition,-1.9801642,-9.788051,2,
promise,0.84713167,4.437027,0,
eu,5.8909454,-1.465569,4,
piecemeal,-4.1663218,1.3007249,0,
invader,7.849843,12.028905,0,
rebuff,-2.8119233,-1.9007039,0,
armenia,3.3515716,11.638229,4,
neighbor,-0.2045829,13.985762,4,neighbor
pretext,10.0954685,-1.8178747,3,
ghost1069,-0.14987375,0.7530901,0,
luhansk,8.399951,8.267518,1,
odessa,0.52263385,6.6505456,1,
mobilize,-10.690866,1.046977,1,
standstill,-2.9749353,1.0039779,0,
transnistrian,5.6292424,5.372791,0,
may/12,0.47234195,-1.2794706,0,
defensively,-5.503775,0.9211118,0,
outset,-0.57455796,-5.2521553,0,
repel,-4.777342,-1.8510945,1,
natos,2.9423249,-8.521231,3,
massively,-1.4672625,-3.0299892,0,
unconditionally,12.255518,-2.3872337,0,
aggresor,2.0366776,-0.27233016,0,
falter,-3.2598517,-3.1827853,0,
unprovoked,5.1587768,-7.3493166,3,
ceasefire,11.030991,-4.079631,1,
prepared,-6.5743046,-2.8016756,0,
neighbour,-0.24925432,13.960614,4,
flank,-3.981748,7.738448,1,
26.02.2022,0.20357509,-0.38289252,0,26.02.2022
demilitarisation,8.8864,-2.9572077,0,
mauripol,-0.5347838,6.1390715,0,
protracted,-1.94124,-8.737306,3,
rf,4.9598866,5.5129013,1,
sovbode,1.48166,-0.68066764,0,
outgunne,-4.3093343,2.491667,0,
maripol,-0.80068684,2.0591574,0,
ongoing,-1.5018882,-6.617038,3,
conventional,-7.20562,1.1465949,3,
demilitarization,9.636796,-3.4883444,1,
baltics,-10.878573,-4.155193,4,
escalate,6.1691337,-10.234809,3,
shipment,-4.297992,4.1767077,0,
t27i4m,0.48993835,-0.7436575,0,
rebuild,-6.275764,-9.77583,0,
અમેરિકા,1.5015911,-0.21964437,0,
unconditional,12.24106,-2.4864252,0,
sievierodonetsk,-1.7398849,6.6410675,1,
severodonetsk,-1.6345382,7.572836,1,
peacekeeping,-12.717004,4.120929,1,
invasion,7.409306,-6.481653,3,
resupply,-5.9504094,7.1439786,2,
denuclearize,7.1838408,-2.594133,0,
heroyam,11.778977,2.3528445,0,
vow,-0.68337125,3.6028588,0,
rearm,-4.32892,5.0329094,0,
resupplye,-3.7789147,4.452367,0,
romania,-10.209482,-4.2670717,4,
territorially,2.2252424,-0.8126776,0,
