,term,x,y,ks
0,putin,-14.0830345,-16.815079,0
1,kremlin,-14.708854,-17.150162,1
2,russia,1.6304294,-17.179068,0
3,russias,1.174272,-16.37828,0
4,openly,15.932494,-11.807886,0
5,president,-4.5230966,19.620827,2
6,bluff,-9.253814,-0.005904953,1
7,leader,-5.61157,22.620195,2
8,putler,-11.515031,3.7934191,1
9,dare,3.885512,4.28718,1
10,embolden,6.715317,-1.1999803,1
11,publicly,15.540354,-11.499165,1
12,politician,-6.458135,22.357727,2
13,crimea,11.01151,19.651733,3
14,outright,-25.37623,-1.3941519,1
15,ukraine,12.205472,19.12612,3
16,suddenly,-2.5903335,-6.4563413,0
17,stw,-0.15428577,-2.503873,1
18,kiev,-4.1885295,-21.803808,3
19,moment,-1.2530587,-7.197816,0
20,lie,-23.950125,2.0539908,1
21,georgia,13.342337,18.952005,0
22,fool,-15.513414,7.4993405,1
23,finally,-4.883468,-7.4983644,0
24,oligarch,-10.346242,24.118896,2
25,everybody,-23.622465,10.19233,1
26,afraid,22.120127,-4.146055,1
27,west,1.4093937,-18.642721,0
28,dictator,-8.80655,14.857074,2
29,appease,12.889864,5.897878,1
30,tough,-0.38065532,4.259156,1
31,moscow,-3.9827971,-21.428768,3
32,weakness,8.580418,-10.776699,0
33,russians,-9.38143,-17.25649,3
34,oust,-14.83129,19.989264,2
35,feels,3.4756808,2.7226453,1
36,anybody,-24.227613,9.739424,1
37,rhetoric,-19.16523,-5.6827965,1
38,tighten,-1.031053,-14.192441,1
39,aggressively,8.031858,3.915551,0
40,russian,-7.983123,-19.50786,3
41,repeatedly,14.40467,-10.460678,1
42,imperialist,8.974037,11.164561,1
43,tyrant,-8.490081,13.684021,1
44,persuade,-1.6846105,2.3095555,1
45,say,2.7103987,13.064677,1
46,militarily,4.633536,-16.309143,0
47,blatant,-23.660221,-0.48109886,1
48,weak,17.498156,-18.565065,0
49,consequence,8.565208,-13.367576,0
50,administration,-3.5457718,17.782423,2
51,react,20.023506,4.868084,0
52,admit,4.238754,12.991299,1
53,warmonger,-12.481865,1.4191275,1
54,destabilize,16.592113,8.750187,0
55,intention,5.618404,1.3190732,0
56,opponent,-4.0136166,5.266493,1
57,aggressive,9.218987,8.158891,0
58,want,20.953957,-8.674267,0
59,confront,16.849483,2.4475982,1
60,muscle,12.641842,-20.146812,0
61,excuse,13.977605,-0.9291479,0
62,aggressor,10.5255165,3.7261968,0
63,try,20.972488,-9.535227,0
64,clown,-10.219612,4.527455,1
65,gov't,-7.69658,20.212448,2
66,accuse,14.714548,-7.7187753,1
67,puppet,-17.802519,19.49058,2
68,supporter,-6.073133,6.603128,1
69,desperate,4.9699306,-0.9093397,1
71,autocrat,-6.7706757,10.276447,1
72,personally,-25.368637,10.429201,1
73,liar,-12.77719,5.589842,1
74,coward,-10.866962,6.1363335,1
75,cynical,-17.80905,4.104954,1
76,cowardly,-4.0232825,0.8086739,1
77,stance,-19.207016,-6.602998,0
78,scared,22.52786,-3.3164935,1
79,topple,-15.90206,19.619719,2
80,quietly,-4.0306873,-6.6897345,1
81,upset,23.381512,-2.7042546,1
82,traitor,-11.819908,11.142952,1
83,syria,5.3419867,-21.411543,0
84,exactly,4.002813,-7.6317573,1
85,constantly,4.284928,5.1758966,1
86,distract,-15.908766,-3.605382,1
87,oligarchs,-10.32013,24.082294,2
88,expansionist,9.614949,9.891389,0
89,powerless,1.8999869,1.7894963,1
90,punish,16.931076,-4.8310137,0
91,neighbor,29.239485,-7.825801,0
93,depose,-15.1097,19.576796,2
94,spin,-18.963736,-1.702228,1
95,critic,-6.0034304,5.4077463,1
96,stupid,-18.01163,8.134196,1
97,g20,-2.5197456,-3.9515028,1
98,slap,-7.994111,-2.946496,1
99,invade,17.723104,13.9952755,0
100,overt,8.365401,-2.940789,1
101,silence,-6.72321,3.6601136,1
102,insist,12.51734,-8.144851,1
103,forcefully,-1.4701947,7.995854,1
104,flex,12.65917,-20.153316,0
105,action,11.454823,3.0244923,0
106,warmongering,-13.5857115,1.0054798,1
107,motherland,-8.079364,-14.19379,1
108,gov,-8.070477,20.321941,2
109,illegally,-0.7632155,8.745656,3
110,firmly,1.4165533,-1.2567439,1
111,demonize,-15.7253275,-2.3151326,1
112,install,-17.02473,20.885529,2
113,thug,-11.113109,12.74473,2
114,humiliate,-2.5761342,2.1773722,1
115,consistently,7.8366523,-7.1537623,1
116,g8,3.8445225,8.035762,1
117,foolish,-18.659525,4.8421955,1
118,imperialistic,9.497379,10.042632,1
119,diplomatically,5.0650854,-15.110473,0
120,anger,-4.1310263,2.8498518,1
121,scare,17.577866,-1.161509,1
122,somebody,-24.43251,8.953456,1
123,govt,-8.272018,19.659925,2
124,sanction,11.494355,-14.793193,0
125,legitimately,0.16290985,1.227988,1
126,seriously,-21.786652,7.143096,1
127,mongering,-14.417406,1.0294256,1
128,ball,-8.287819,-1.6636403,1
129,isis,5.6565332,-22.42749,0
130,stop,1.6942232,5.8671136,0
131,meddle,19.024343,9.547475,0
132,provoke,20.599628,5.3754187,0
133,rally,-6.9730024,6.9129066,1
134,donbas,-5.448104,-24.826591,3
135,loudly,-5.633475,1.6236075,1
136,leadership,-4.8999414,22.828169,2
137,opposition,-4.9507775,7.2095056,2
138,strongly,3.2156172,0.04783522,1
139,pis,-0.55855143,-3.2583292,1
140,instead,0.67494833,-10.073142,0
141,clearly,5.287138,-8.243649,1
142,pull,18.727356,1.4166229,0
143,regime,-9.121445,17.156134,2
144,will,2.7158883,-12.0333805,0
145,macho,-4.8393397,-0.1396271,1
146,provocation,10.0635395,2.3405766,0
147,strongman,-6.0334253,10.058267,1
148,kleptocrat,-2.3146405,-1.2247918,1
149,bold,-7.5145235,1.3563933,1
150,kgb,-0.95499873,27.423153,2
151,shake,-5.7891808,-3.3095677,1
152,continue,0.023441782,-13.792227,0
153,secretly,-1.8760599,0.16481613,1
154,washington,-2.14433,11.923325,1
155,prop,-11.103636,-10.86883,0
156,putinbot,-13.108894,4.2457247,1
157,yat,-1.8634393,-2.612866,1
158,republicans,0.25439522,16.427975,1
159,kick,21.521801,-0.315666,0
160,justify,12.623974,-2.0016756,0
161,bully,28.226006,-6.4548936,0
162,annex,17.423008,14.163515,3
163,obvious,5.5771217,-6.261418,1
164,push,15.301899,5.1918097,0
165,despite,8.585957,-7.5717883,0
166,neighbour,29.130014,-7.677708,0
167,pursue,12.337972,9.042913,0
168,threaten,20.026611,-3.239498,0
169,evil,-15.563499,-1.1898718,1
170,cry,-11.340709,-1.3995305,1
171,allah,-1.527233,-1.5798683,1
172,piss,22.171547,-1.5040128,1
173,support,-11.032014,-11.899321,0
174,idiot,-14.2859535,7.0716896,1
175,corner,-6.4178805,-5.605619,1
176,theirs,12.12548,14.525361,1
177,step,0.54060966,-7.0365376,0
178,neocon,-10.84257,2.0067008,1
179,blatantly,-23.848738,-0.4934445,1
180,intervene,19.807667,8.5822315,0
181,donbass,-5.4501824,-24.827793,3
182,goverment,-9.097715,19.83035,2
183,motive,5.8127756,2.1287222,1
184,escalate,21.804644,5.448917,0
185,opportunistic,0.40843442,-0.18869415,1
186,precisely,4.6625085,-6.760907,1
187,fear,22.058691,-5.3034196,0
188,indirectly,3.1380215,-2.2717347,0
189,condone,10.202012,-1.7525908,1
190,unworthi,-0.3707899,-1.9907206,1
191,presidency,-2.3471029,17.570871,2
192,intimidate,-2.460875,3.6902475,1
193,happy,24.506775,-3.920683,1
194,resign,-4.725688,14.899323,2
195,nato,8.6838255,5.025898,0
196,gamble,0.95068395,-5.662064,1
197,narrative,-23.337223,-5.677159,1
198,legitimize,11.069964,-2.8992617,1
199,pr,-9.4881525,-7.4913173,1
200,instal,-17.029408,20.788555,2
201,mastermind,-0.76537836,-0.98183256,1
202,ok,-12.515539,-6.1055436,1
203,let,-1.0231636,-10.652116,0
204,knee,-6.556293,-0.62357265,1
205,wait,-5.798337,-8.0398445,1
206,hurt,17.829393,-5.3406,0
207,ready,-3.6446285,-8.36347,0
208,strong,17.49494,-18.576418,0
209,face,6.1276226,15.646504,0
210,dumb,-17.700235,8.48672,1
