,term,x,y,ks
0,crimea,-10.092861,22.221178,0
1,crimean,-10.199928,22.719536,2
2,peninsula,-7.950839,16.87923,1
3,sevastopol,-5.9618244,18.092958,1
4,donbas,-27.984825,10.33169,3
5,transnistria,-20.921982,-8.734596,1
6,territory,-2.856907,23.970528,0
7,bloodless,5.4842405,1.8554398,1
8,novorossiya,-6.1591086,-4.0174394,1
9,donbass,-27.988777,10.406999,3
10,forcefully,1.8903863,5.919049,1
11,rejoin,17.954409,-13.732701,1
12,oblast,-26.080153,17.082916,3
13,abkhazia,-20.650343,-9.195266,0
14,illegally,4.598663,6.7882295,0
15,ukraine,-7.1620326,-8.1633415,1
16,separatist,-25.355434,5.8391223,3
17,region,-14.156108,17.129921,3
18,province,-11.959767,13.596523,1
19,ukrain,-5.9959865,-7.0970464,1
20,mainland,-7.185011,13.6102915,1
21,secession,23.617405,-7.910529,0
22,annexation,22.636354,-13.628718,0
23,rightfully,-9.84957,-2.795382,1
24,luhansk,-26.815022,15.729784,3
25,rf,-21.0582,5.2045197,1
26,1954,23.368956,9.185722,0
27,officially,10.714058,1.8568585,0
28,theirs,-10.439221,-3.1133325,1
29,secede,23.630043,-9.169369,0
30,1783,-8.433093,4.738227,1
31,overwhelmingly,15.792639,-14.736081,2
32,part,-13.028458,13.737397,1
33,autonomous,25.720497,2.0549276,0
34,autonomy,25.83082,-6.8160424,0
35,dnr,-28.900444,6.1397896,3
36,land,-2.8374085,23.968887,1
37,ssr,23.009031,9.589788,0
38,federalization,24.342712,-5.726388,0
39,formally,9.969884,2.4497242,0
40,novorussia,-4.9454265,-3.9787242,1
41,referendum,20.999962,-8.713543,0
42,legally,9.424775,4.697403,0
43,russia,-7.1538343,-8.701242,1
44,pretext,11.9517,13.261122,1
45,seperatist,-23.311928,6.317276,3
46,sudetenland,-0.42929575,-27.34915,1
47,russians,-12.142746,-7.0001698,1
48,separation,23.792494,-5.914093,0
49,ethnically,-15.337818,0.8702917,2
50,lease,-5.9478984,18.303305,1
51,legitimacy,17.4556,1.0934101,0
52,kiev,-21.79052,18.899698,3
53,tartar,-12.621497,3.9538674,2
54,portion,6.952531,-21.798132,2
55,illegal,16.02008,4.191236,0
56,breakaway,-7.996252,0.13358809,0
57,lugansk,-26.832115,15.369455,3
58,rebel,-25.191832,5.698096,3
59,federation,22.016373,10.671544,0
60,port,-4.0443187,16.484316,1
61,tatarstan,-6.479622,0.9317763,1
